lambda,E
0.41666666666666663,0.20722971027036846
0.4271626431677918,0.15604124303935943
0.44444444444444414,0.2209571500376315
0.44882791106938413,0.1248515591900828
0.456521739130435,0.2587618965721642
0.48310307065181896,0.33406003725553735
0.4999999999999991,0.13896894442352345
0.4999999999999992,0.1482818648335228
0.49999999999999933,0.1433951761872594
0.49999999999999933,0.10781550529921591
0.49999999999999933,0.08122293859923072
0.49999999999999933,0.1537160256516194
0.49999999999999933,0.15071003747952638
0.49999999999999933,0.16222641499717144
0.49999999999999933,0.18810117792380843
0.49999999999999933,0.1989746993807489
0.49999999999999944,0.18974821014607635
0.49999999999999944,0.1729075997913665
0.49999999999999944,0.1657837175748822
0.49999999999999944,0.1277616618539617
0.49999999999999944,0.12590624414874804
0.49999999999999944,0.14008481924412064
0.49999999999999944,0.1457561641445143
0.49999999999999944,0.12542494882290411
0.49999999999999944,0.12039551773514948
0.49999999999999956,0.1323396578748129
0.49999999999999956,0.16058722878634124
0.49999999999999956,0.12130329279689592
0.49999999999999956,0.16463642631552022
0.49999999999999956,0.19803190138971816
0.49999999999999956,0.1568403745840462
0.49999999999999956,0.12233335572292524
0.49999999999999956,0.12150942013799339
0.49999999999999956,0.16349775540777506
0.49999999999999956,0.18770126802086173
0.49999999999999956,0.1534039926369882
0.49999999999999956,0.12841153695303678
0.49999999999999956,0.13143069514315772
0.49999999999999956,0.13868148232357788
0.49999999999999956,0.14243633097662894
0.49999999999999956,0.18960737767058
0.49999999999999956,0.14399341377892416
0.49999999999999956,0.07817332091704551
0.49999999999999956,0.09894480311857154
0.49999999999999956,0.12728524631442484
0.49999999999999956,0.14356712077973
0.49999999999999956,0.12536245502680393
0.49999999999999967,0.17372158503766538
0.49999999999999967,0.24459775197123013
0.49999999999999967,0.16829886469967148
0.49999999999999967,0.18071633196139247
0.49999999999999967,0.18682687801051
0.49999999999999967,0.1774426502556054
0.49999999999999967,0.1278495623179749
0.49999999999999967,0.11857926972558201
0.49999999999999967,0.13644037348432028
0.49999999999999967,0.22311638571113324
0.49999999999999967,0.15094476169701226
0.49999999999999967,0.16422407926029012
0.49999999999999967,0.160100740699205
0.49999999999999967,0.12938796179755532
0.49999999999999967,0.12908635927257464
0.49999999999999967,0.13517294290656431
0.4999999999999998,0.1885851365015565
0.4999999999999998,0.1422940057929242
0.4999999999999998,0.27840776409907064
0.4999999999999998,0.1889143085586325
0.4999999999999998,0.164548574514506
0.4999999999999998,0.1488231626023296
0.4999999999999998,0.13100003253307885
0.4999999999999998,0.1609933817332691
0.4999999999999998,0.20372157422542636
0.4999999999999998,0.21400306155320556
0.4999999999999998,0.16448907545022018
0.4999999999999998,0.09906729668485231
0.4999999999999998,0.16466433277363357
0.4999999999999998,0.14772532999783272
0.4999999999999998,0.13911392514654755
0.4999999999999998,0.1232944516372269
0.4999999999999998,0.10834529527026894
0.4999999999999998,0.16136518161175922
0.4999999999999998,0.19262492571015014
0.4999999999999998,0.18290152145345134
0.4999999999999998,0.18788793335055465
0.4999999999999998,0.1599354536568062
0.4999999999999998,0.1659520868522752
0.4999999999999998,0.13743593942360433
0.4999999999999998,0.1652173090778075
0.4999999999999998,0.30324081297639927
0.4999999999999998,0.1729127725922769
0.4999999999999998,0.14630533951966107
0.49999999999999983,0.4024981449756575
0.4999999999999999,0.10923458773139497
0.4999999999999999,0.254417692498354
0.4999999999999999,0.13274814053776152
0.4999999999999999,0.1767014193547903
0.4999999999999999,0.17092504233456768
0.4999999999999999,0.22547414814509936
0.4999999999999999,0.14137021013134848
0.4999999999999999,0.19727357155312011
0.4999999999999999,0.2217159743372532
0.4999999999999999,0.1575455112650481
0.4999999999999999,0.15209441559843861
0.4999999999999999,0.1214000728795436
0.4999999999999999,0.2095588448731568
0.4999999999999999,0.12972097217618878
0.4999999999999999,0.2222308890505194
0.4999999999999999,0.14375089794252016
0.4999999999999999,0.1504373713041433
0.4999999999999999,0.13875332528654633
0.4999999999999999,0.1969324752819318
0.4999999999999999,0.13166975078006282
0.4999999999999999,0.11869812850965977
0.4999999999999999,0.16269713220358964
0.4999999999999999,0.1634112832777703
0.4999999999999999,0.13419678106328345
0.4999999999999999,0.13841193612875274
0.4999999999999999,0.19271540361006673
0.4999999999999999,0.15254529676379514
0.4999999999999999,0.22611418662136024
0.4999999999999999,0.07248101189254577
0.4999999999999999,0.07630335866385524
0.4999999999999999,0.1916817597675045
0.4999999999999999,0.10150099992858932
0.4999999999999999,0.13645579421861564
0.4999999999999999,0.1112699013059275
0.5,0.19878514893657284
0.5,0.1251786055701109
0.5,0.08938974900746446
0.5,0.19463180542012695
0.5,0.12719282275828553
0.5,0.22438500204783587
0.5,0.14074972421251206
0.5,0.12379244147131602
0.5,0.17307935182064332
0.5,0.1150902176821226
0.5,0.16316849101300346
0.5,0.22382851929788888
0.5,0.11968004219138634
0.5,0.17643075869946656
0.5,0.14912818929591687
0.5,0.14990079835669007
0.5,0.18344150581510588
0.5,0.22946654614258455
0.5,0.11153323985218905
0.5,0.1251687741583754
0.5,0.13628434676732837
0.5,0.13767540078877233
0.5,0.1500162689886262
0.5,0.11913445202234157
0.5,0.17977263368014956
0.5,0.1673638599898252
0.5,0.11177031238055019
0.5,0.17211528911142748
0.5,0.21751829572626802
0.5,0.15917100885240232
0.5,0.11732111837598735
0.5,0.19567855790544503
0.5,0.13330473975364449
0.5,0.16063479955723467
0.5,0.17754631142736202
0.5,0.12500580201596628
0.5,0.18320635724571224
0.5,0.17077397214516088
0.5,0.28813201342922634
0.5000000000000001,0.15453751079028472
0.5000000000000001,0.18315757281349593
0.5000000000000001,0.37840346280745474
0.5000000000000001,0.15503561672918956
0.5000000000000001,0.13282641124118735
0.5000000000000001,0.1346175215441828
0.5000000000000001,0.09383973167709639
0.5000000000000001,0.17327183938879084
0.5000000000000001,0.1204188272090296
0.5000000000000001,0.20459584693725488
0.5000000000000001,0.14800823399246585
0.5000000000000001,0.13054969076973044
0.5000000000000001,0.1334117260981463
0.5000000000000001,0.1409759101802059
0.5000000000000001,0.11869045609116956
0.5000000000000001,0.15641212344526906
0.5000000000000001,0.1362741239046396
0.5000000000000001,0.11353755957877296
0.5000000000000001,0.25529331773856406
0.5000000000000001,0.12107708867510764
0.5000000000000001,0.16664827942988078
0.5000000000000001,0.13318455068748974
0.5000000000000001,0.17782197099811098
0.5000000000000001,0.1421386432590979
0.5000000000000001,0.1890314971997255
0.5000000000000002,0.09968229836081713
0.5000000000000002,0.13626994704112574
